transaction_id,customer_id,customer_city,merchant_id,merchant_category,transaction_datetime,payment_method,device_type,amount,currency,account_balance,credit_score,geo_match,velocity_score,cashback_used,transaction_status,risk_level,is_fraud
TXN000001,CUST0564,Mumbai,MER115,Travel,2026-09-26 03:23:00,UPI,Web,47964.22,INR,370593.2,858,Yes,76,No,Success,Low,0
TXN000002,CUST0055,Bengaluru,MER102,Entertainment,2026-08-25 14:46:00,NetBanking,iPhone,7045.27,INR,110999.87,584,Yes,98,Yes,Pending,Medium,0
TXN000003,CUST0690,Pune,MER048,Bills,2026-02-05 05:07:00,Debit Card,iPhone,25531.98,INR,302259.29,344,No,69,Yes,Failed,Low,0
TXN000004,CUST0741,Bengaluru,MER099,Entertainment,2026-01-26 07:46:00,UPI,Web,41412.01,INR,114721.24,596,Yes,30,Yes,Failed,Medium,0
TXN000005,CUST0334,Delhi,MER182,Travel,2026-09-02 00:04:00,Debit Card,Web,34016.7,INR,468390.64,373,Yes,69,Yes,Success,Medium,0
TXN000006,CUST1141,Mumbai,MER167,Food,2026-03-25 09:27:00,UPI,iPhone,28471.57,INR,201181.23,367,Yes,73,No,Success,High,0
TXN000007,CUST0940,Mumbai,MER136,Travel,2026-03-31 19:03:00,NetBanking,Web,37452.36,INR,132108.06,898,No,75,No,Failed,Low,0
TXN000008,CUST1011,Pune,MER025,Food,2026-02-25 15:32:00,Credit Card,Web,74799.49,INR,211657.82,365,No,49,No,Pending,Medium,1
TXN000009,CUST0235,Bengaluru,MER137,Entertainment,2026-05-04 20:29:00,UPI,iPhone,72831.46,INR,217947.86,764,Yes,93,No,Pending,Low,1
TXN000010,CUST0612,Bengaluru,MER102,Travel,2026-05-17 03:18:00,Credit Card,Web,38085.97,INR,476796.37,843,Yes,77,No,Failed,Low,0
TXN000011,CUST0630,Mumbai,MER030,Travel,2026-11-16 16:09:00,NetBanking,Android,8407.84,INR,43741.07,797,Yes,98,Yes,Success,High,0
TXN000012,CUST0543,Bengaluru,MER217,Travel,2026-12-05 04:58:00,NetBanking,Web,35656.67,INR,345243.95,619,No,86,No,Failed,High,0
TXN000013,CUST0132,Delhi,MER011,Healthcare,2026-07-21 16:14:00,Credit Card,Web,33872.43,INR,110888.47,372,Yes,30,Yes,Success,Medium,0
TXN000014,CUST0995,Mumbai,MER277,Travel,2026-09-21 08:45:00,NetBanking,Web,5332.88,INR,236862.84,784,No,25,Yes,Success,High,0
TXN000015,CUST0957,Pune,MER051,Food,2026-05-27 14:09:00,Debit Card,Android,32340.22,INR,125079.51,494,No,18,No,Success,Medium,0
TXN000016,CUST0155,Hyderabad,MER282,Food,2026-01-19 10:02:00,NetBanking,Android,34707.85,INR,484529.13,542,Yes,53,No,Failed,Low,0
TXN000017,CUST0005,Hyderabad,MER136,Bills,2026-04-14 20:32:00,Wallet,Web,64851.49,INR,478701.5,869,No,20,Yes,Failed,Low,0
TXN000018,CUST0643,Pune,MER026,Healthcare,2026-06-23 14:14:00,NetBanking,Web,72653.83,INR,79558.93,820,Yes,24,Yes,Pending,Low,0
TXN000019,CUST0246,Bengaluru,MER127,Healthcare,2026-08-05 10:59:00,UPI,Web,50647.44,INR,41909.72,897,No,34,Yes,Pending,High,1
TXN000020,CUST0269,Delhi,MER235,Shopping,2026-12-05 05:53:00,UPI,Android,23577.51,INR,229684.48,876,Yes,10,Yes,Pending,Medium,0
TXN000021,CUST0141,Mumbai,MER190,Shopping,2026-02-27 10:24:00,Wallet,Web,9951.59,INR,352066.42,841,Yes,86,No,Pending,Low,0
TXN000022,CUST0237,Pune,MER284,Travel,2026-04-10 03:48:00,Debit Card,Web,70420.97,INR,106104.2,651,Yes,88,No,Pending,Medium,1
TXN000023,CUST0105,Pune,MER217,Shopping,2026-01-17 01:14:00,UPI,iPhone,18849.07,INR,385788.49,568,Yes,95,No,Pending,High,0
TXN000024,CUST0155,Mumbai,MER280,Food,2026-10-31 20:48:00,Debit Card,Web,32087.97,INR,276710.02,740,Yes,6,No,Failed,Low,1
TXN000025,CUST0512,Pune,MER182,Healthcare,2026-11-18 21:41:00,Wallet,Web,67421.37,INR,374989.33,542,Yes,23,No,Success,Low,1
TXN000026,CUST0844,Mumbai,MER137,Travel,2026-10-14 16:11:00,UPI,iPhone,55247.6,INR,436211.22,781,Yes,26,No,Failed,Medium,1
TXN000027,CUST0396,Hyderabad,MER169,Shopping,2026-11-11 16:49:00,UPI,iPhone,61543.82,INR,176221.92,821,No,87,No,Success,Low,0
TXN000028,CUST1190,Delhi,MER020,Food,2026-08-06 04:55:00,Wallet,iPhone,65780.34,INR,364543.99,621,No,78,Yes,Failed,High,1
TXN000029,CUST0894,Pune,MER267,Healthcare,2026-09-08 01:50:00,Credit Card,iPhone,14272.11,INR,216217.4,638,No,85,Yes,Pending,Medium,0
TXN000030,CUST0669,Hyderabad,MER152,Healthcare,2026-02-16 08:15:00,Credit Card,iPhone,38044.05,INR,332799.79,688,Yes,79,No,Failed,High,0
TXN000031,CUST0431,Hyderabad,MER297,Healthcare,2026-08-27 08:54:00,Debit Card,iPhone,62532.71,INR,221451.22,518,No,95,Yes,Pending,Low,1
TXN000032,CUST0687,Pune,MER121,Entertainment,2026-04-24 00:29:00,Credit Card,Android,21298.3,INR,74529.63,347,Yes,61,Yes,Failed,Medium,0
TXN000033,CUST0787,Hyderabad,MER205,Travel,2026-02-23 17:29:00,UPI,Android,66462.55,INR,389431.78,524,Yes,90,No,Success,High,0
TXN000034,CUST0935,Mumbai,MER238,Entertainment,2026-07-13 09:06:00,NetBanking,Web,18704.89,INR,159331.68,753,No,71,No,Success,High,0
TXN000035,CUST0568,Bengaluru,MER249,Entertainment,2026-03-29 02:33:00,Debit Card,iPhone,64614.89,INR,39664.19,592,Yes,35,No,Failed,High,0
TXN000036,CUST0785,Mumbai,MER110,Food,2026-06-01 01:10:00,Wallet,iPhone,6061.71,INR,271762.96,725,Yes,27,No,Failed,High,0
TXN000037,CUST1180,Hyderabad,MER245,Food,2026-12-10 05:48:00,Debit Card,iPhone,70955.73,INR,376984.09,729,Yes,63,Yes,Failed,Medium,1
TXN000038,CUST0829,Mumbai,MER240,Travel,2026-08-15 13:21:00,NetBanking,Android,36433.44,INR,453557.5,877,Yes,11,No,Success,Medium,0
TXN000039,CUST0671,Mumbai,MER233,Shopping,2026-05-03 21:07:00,Wallet,iPhone,13646.04,INR,376252.9,731,No,11,No,Success,High,0
TXN000040,CUST0717,Mumbai,MER036,Entertainment,2026-01-15 15:46:00,UPI,Android,40465.64,INR,100480.98,320,Yes,31,Yes,Failed,High,0
TXN000041,CUST0953,Delhi,MER189,Travel,2026-08-09 14:22:00,NetBanking,Web,8596.92,INR,359460.26,467,No,14,Yes,Failed,High,0
TXN000042,CUST0407,Pune,MER125,Food,2026-09-11 20:09:00,Debit Card,Web,50807.5,INR,300605.4,423,Yes,45,No,Pending,Medium,0
TXN000043,CUST0026,Hyderabad,MER251,Food,2026-06-07 20:11:00,Debit Card,Web,5190.38,INR,445895.93,770,Yes,56,Yes,Pending,High,0
TXN000044,CUST1103,Hyderabad,MER239,Bills,2026-10-28 15:22:00,NetBanking,iPhone,72411.22,INR,161829.99,551,Yes,36,No,Success,Medium,1
TXN000045,CUST0689,Pune,MER254,Shopping,2026-03-08 04:56:00,Wallet,Android,42747.33,INR,178057.66,564,No,36,No,Pending,Low,0
TXN000046,CUST0495,Hyderabad,MER251,Healthcare,2026-10-04 00:56:00,Credit Card,Web,38756.71,INR,238570.46,802,No,3,Yes,Failed,Low,0
TXN000047,CUST1192,Delhi,MER243,Healthcare,2026-07-13 07:15:00,Debit Card,iPhone,30342.0,INR,498319.1,863,No,46,No,Failed,Medium,0
TXN000048,CUST0395,Delhi,MER062,Entertainment,2026-07-15 02:27:00,Credit Card,Android,18870.25,INR,108975.94,795,No,93,No,Success,Low,0
TXN000049,CUST0620,Pune,MER274,Travel,2026-04-10 20:58:00,UPI,Android,22232.56,INR,277126.12,429,No,14,Yes,Pending,Medium,0
TXN000050,CUST0378,Pune,MER130,Bills,2026-02-11 12:54:00,UPI,iPhone,35215.38,INR,246381.53,890,Yes,20,Yes,Pending,Medium,0
TXN000051,CUST1143,Hyderabad,MER116,Healthcare,2026-05-19 11:47:00,Wallet,iPhone,6406.86,INR,149379.21,739,No,73,Yes,Pending,High,0
TXN000052,CUST0433,Delhi,MER042,Travel,2026-03-29 07:58:00,Credit Card,Web,7460.53,INR,38457.37,302,No,58,No,Failed,Low,0
TXN000053,CUST0930,Pune,MER120,Shopping,2026-10-14 20:08:00,NetBanking,Web,17376.09,INR,402148.93,502,No,15,Yes,Pending,Low,0
TXN000054,CUST0340,Delhi,MER292,Shopping,2026-06-09 21:22:00,UPI,iPhone,68132.69,INR,344650.32,712,No,65,No,Failed,Low,0
TXN000055,CUST0661,Bengaluru,MER129,Food,2026-02-03 06:01:00,Credit Card,Web,44860.79,INR,418143.35,889,Yes,98,No,Pending,Low,0
TXN000056,CUST1063,Hyderabad,MER143,Travel,2026-08-02 02:41:00,Wallet,Web,57237.91,INR,407308.23,393,No,45,No,Failed,Medium,1
TXN000057,CUST1015,Delhi,MER206,Healthcare,2026-01-14 08:39:00,Wallet,Android,50266.61,INR,157944.06,631,Yes,99,No,Pending,Low,0
TXN000058,CUST0847,Pune,MER097,Healthcare,2026-05-12 17:16:00,NetBanking,iPhone,49331.38,INR,313078.96,352,Yes,35,Yes,Failed,Medium,0
TXN000059,CUST0491,Mumbai,MER160,Healthcare,2026-01-05 23:29:00,NetBanking,iPhone,66065.88,INR,47511.39,416,No,16,Yes,Failed,High,0
TXN000060,CUST0851,Hyderabad,MER242,Travel,2026-06-16 07:27:00,NetBanking,Android,21903.78,INR,192409.42,820,Yes,9,No,Failed,Medium,0
TXN000061,CUST0580,Delhi,MER297,Entertainment,2026-06-28 06:32:00,Credit Card,iPhone,70069.94,INR,269751.71,653,No,71,No,Failed,Medium,0
TXN000062,CUST0785,Mumbai,MER211,Food,2026-04-26 20:16:00,Wallet,Web,65222.73,INR,456801.65,690,No,85,Yes,Failed,Low,0
TXN000063,CUST0680,Pune,MER226,Food,2026-07-11 11:49:00,Wallet,Android,9485.95,INR,361499.47,719,Yes,10,No,Failed,Medium,0
TXN000064,CUST0165,Delhi,MER274,Bills,2026-04-26 07:01:00,Wallet,Web,46751.99,INR,18913.65,370,Yes,81,No,Success,High,0
TXN000065,CUST0206,Hyderabad,MER086,Entertainment,2026-04-20 00:46:00,UPI,Android,6796.64,INR,162862.96,357,No,46,No,Failed,Low,0
TXN000066,CUST0369,Mumbai,MER090,Food,2026-08-10 21:49:00,Wallet,Web,18329.92,INR,341884.16,809,Yes,30,No,Pending,Medium,0
TXN000067,CUST0953,Delhi,MER280,Travel,2026-01-27 21:24:00,Wallet,iPhone,34478.6,INR,493838.2,606,No,89,No,Failed,Medium,0
TXN000068,CUST0990,Pune,MER122,Bills,2026-07-28 05:32:00,Debit Card,Web,14957.29,INR,148640.32,602,Yes,85,No,Failed,Low,0
TXN000069,CUST0101,Bengaluru,MER255,Shopping,2026-10-10 10:31:00,Credit Card,Web,42453.36,INR,401164.05,524,Yes,80,No,Pending,High,0
TXN000070,CUST0199,Pune,MER159,Bills,2026-01-13 03:32:00,NetBanking,iPhone,57564.96,INR,366447.52,392,No,42,No,Success,Low,0
